level,english-word,chinese-translation,chinese-translation
2,aid,n. & vt. 帮助; 援助; 资助,
1,first aid,(对伤患者的)急救,
2,temporary,adj. 暂时的; 临时的,
1,fall ill,生病,
2,injury,n. 损伤; 伤害,
2,bleed,"vi. & vt. (bled, bled) 流血",
3,nosebleed,n. 鼻出血; 流鼻血,
3,sprain,vt. 扭伤,
3,sprained,adj. 扭伤的,
2,ankle,n. 踝(关节),
2,choke,vi. & vt. (使)噎住; (使)窒息,
2,cupboard,n. 橱柜; 衣柜,
2,skin,n. 皮; 皮肤,
3,essential,adj. 最重要的; 不可缺少的; 本质的,
2,organ,n. 器官,
3,layer,n. 层; 层次,
2,barrier,n. 屏障; 障碍(物),
1,poison,n. 毒药; 毒害,vt. 毒害; 使中毒
2,ray,n. 光线; 射线,
2,complex,adj. 复杂的,
2,variety,n. 变化; 多样(化); 多变(性),
2,liquid,n. 液体,
2,radiation,n. 辐射; 射线,
2,mild,adj. 轻微的; 温和的; 温柔的,
2,mildly,adv. 轻微地; 温和地,
2,pan,n. 平底锅; 盘子,
2,stove,n. 炉子; 火炉,
3,heal,vi. & vt. (使)康复; (使)化解,
2,tissue,n. (生物)组织; 薄的织物; 手巾纸,
1,electric shock,触电; 电休克,
1,swell,"vi. & vt. (swelled, swollen) (使)膨胀; 隆起",
2,swollen,adj. 肿胀的,
3,blister,n. 水泡; vi. & vt. (使)起泡,
3,watery,adj. (似)水的,
3,char,vi. 烧焦,
3,nerve,n. 神经; 胆量,
2,scissors,n. (pl.) 剪刀,
2,unbearable,adj. 难以忍受的; 不能容忍的,
2,basin,n. 盆; 盆地,
1,squeeze,vt. & vi. 榨; 挤; 压榨,
1,squeeze out,榨出; 挤出,
1,over and over again,反复; 多次,
2,bandage,n. 绷带,
1,in place,在适当的位置; 适当,
3,ointment,n. 药膏; 油膏,
3,infection,n. 传染; 传染病; 感染,
2,vital,adj. 至关重要的; 生死攸关的,
2,symptom,n. 症状; 征兆,
3,label,vt. 加标签或标记; 分类,n. 标签; 标记
2,kettle,n. (水)壶; 罐,
1,pour,vt. & vi. 倒; 灌; 注; 涌,
2,wrist,n. 手腕,
2,damp,adj. 潮湿的,
3,Casey,凯西(姓),
2,sleeve,n. 袖子,
2,blouse,n. 女衬衫,
2,tight,adj. 牢的; 紧的; 紧密的,
2,tightly,adv. 紧地; 牢牢地,
2,firm,adj. (动作)稳定有力的; 坚定的,
2,firmly,adv. 坚固地; 稳定地,
2,throat,n. 咽喉; 喉咙,
3,Janson,詹森(姓),
2,ceremony,n. 典礼; 仪式; 礼节,
2,bravery,n. 勇敢; 勇气,
3,Slade,斯莱德(姓),
3,stab,vt. & vi. 刺; 戳; 刺伤,
1,a number of,若干; 许多,
1,put one's hands on,找到,
1,treat,vt. & vi. 治疗; 对待; 款待,n. 款待; 招待
1,apply,vt. 涂; 敷; 搽; 应用; 运用,vi. 申请; 请求; 使用; 有效
2,pressure,n. 压力; 挤压; 压迫(感),
2,ambulance,n. 救护车,
3,scheme,n. 方案; 计划,
3,Southerton,萨瑟顿(姓),
1,make a difference,区别对待; 有影响; 起(重要)作用,
3,bruise,n. & vi. 瘀伤; 擦伤,
